id,prize
82,"Переможець вибирає собі «королевську гвардію» з двох гравців"
83,"Інші мають придумати переможцю девіз життя в стилі мачо/фемме фаталь"
84,"Переможець диктує тему для спільної медитації на 2 хвилини"
85,"Гравці мають розповісти, як переможець виглядав би в ролі спокусника"
86,"Переможець отримує право на «вето-поцілунок» — може зупинити будь-яку дію"
87,"Усі мають сказати, яким би був переможець коханцем в різні епохи"
88,"Переможець вигадує нову традицію, яку всі повинні виконати"
89,"Інші влаштовують переможцю «інтимний гороскоп» — кожен говорить передбачення"
90,"Переможець обирає хто має станцювати з ним танець голлівудських зірок"
91,"Гравці мають описати переможця як парфумера власних феромонів"
92,"Переможець отримує право на одне «королевське прохання» до кожного"
93,"Усі мають зізнатися, чим переможець схожий на їхній ідеальний тип"
94,"Переможець влаштовує «церемонію посвяти» — дає всім нові імена"
95,"Інші мають створити переможцю особистий «саундтрек спокуси»"
96,"Переможець вибирає хто має розповісти про нього як про таємного агента"
97,"Гравці влаштовують переможцю «театр одного актора» — показують його різні образи"
98,"Переможець отримує магічну паличку (предмет) і право на три бажання"
99,"Усі мають описати переможця як автора власного еротичного мистецтва"
100,"Переможець стає «гуру кохання» — дає всім поради на завтра"
101,"Переможець робить масаж плечей кожному гравцю по 2 хвилини"
102,"Переможець говорить комплімент кожному учаснику від душі"
103,"Переможець цілує всіх гравців в щоку по черзі"
104,"Переможець танцює стриптиз для всієї компанії (в одязі)"
105,"Переможець розповідає свій найсоромніший сексуальний момент"
106,"Переможець стає 'рабом' на 15 хвилин — виконує дрібні бажання"
107,"Переможець готує напої всім учасникам гри"
108,"Переможець співає серенаду кожному гравцю"
109,"Переможець зізнається в таємній фантазії про когось з присутніх"
110,"Переможець робить еротичний танець на стільці"
111,"Переможець розповідає про свій найгірший досвід на побаченні"
112,"Переможець масажує ноги одному з гравців (на вибір компанії)"
113,"Переможець зізнається в найдивнішому місці де займався сексом"
114,"Переможець показує свій найсексуальніший жест"
115,"Переможець розповідає еротичну казку власного складання"
116,"Переможець робить комплімент зовнішності кожному присутньому"
117,"Переможець зізнається кого з присутніх вважає найпривабливішим"
118,"Переможець танцює повільний танець з кожним гравцем"
119,"Переможець розповідає про свою найсмішнішу сексуальну невдачу"
120,"Переможець робить масаж голови одному з учасників"
121,"Переможець зізнається в найкрасивішому компліменті що отримував"
122,"Переможець показує як флірує з незнайомцями"
123,"Переможець розповідає про найстрашніший кошмар пов'язаний з сексом"
124,"Переможець обіймає кожного гравця протягом 30 секунд"
125,"Переможець зізнається в найбезглуздішій речі що робив заради сексу"
126,"Переможець показує свою найсексуальнішу ходу"
127,"Переможець розповідає про найнезвичайніший комплімент що робив"
128,"Переможець масажує руки всім гравцям по черзі"
129,"Переможець зізнається у своїй найдивнішій еротичній фантазії"
130,"Переможець показує як би спокушав кожного з присутніх"
131,"Переможець розповідає про найвлучніший відмову що отримував"
132,"Переможець робить масаж спини комусь на вибір компанії"
133,"Переможець зізнається в найсоромнішій думці про когось з гравців"
134,"Переможець показує свій найневдаліший танцювальний рух"
135,"Переможець розповідає про найдивніше місце де його поцілували"
136,"Переможець дає персональну пораду кожному про стосунки"
137,"Переможець зізнається яку частину тіла любить найбільше в інших"
138,"Переможець показує як би розздягався для партнера"
139,"Переможець розповідає про найкумедніший момент під час поцілунку"
140,"Переможець робить чуттєвий масаж рук одному з гравців"
141,"Переможець зізнається в найгіршому що думав про своє тіло"
142,"Переможець показує свою найсексуальнішу позу для фото"
143,"Переможець розповідає про найдивніший звук що видавав під час сексу"
144,"Переможець дарує кожному по одному особистому компліменту"
145,"Переможець зізнається в найстрашнішому страхові пов'язаному з інтимністю"
146,"Переможець показує як би танцював на дискотеці для залицяння"
147,"Переможець розповідає про найкращий секс у своєму житті"
148,"Переможець робить масаж шиї всім гравцям поспіль"
149,"Переможець зізнається кому з присутніх подарував би першу ніч"
150,"Переможець показує свій найчуттєвіший погляд"
151,"Переможець розповідає про найдивніший предмет що використовував в сексі"
152,"Переможець дає кожному еротичне прізвисько на вечір"
153,"Переможець зізнається в найбільшій сексуальній фантазії з дитинства"
154,"Переможець показує як би зваблював свою першу любов зараз"
155,"Переможець розповідає про найнезграбніший момент роздягання"
156,"Переможець робить чуттєвий масаж плечей комусь з компанії"
157,"Переможець зізнається яку позу хотів би спробувати найбільше"
158,"Переможець показує свій найеротичніший жест руками"
159,"Переможець розповідає про найдивніше місце де мастурбував"
160,"Переможець дає кожному пораду як стати кращим в ліжку"
161,"Переможець зізнається в найсоромнішому що шукав в інтернеті"
162,"Переможець показує як би флірував поглядом з кожним присутнім"
163,"Переможець розповідає про найгірший секс у своєму житті"
164,"Переможець робить розслаблюючий масаж голови одному з гравців"
165,"Переможець зізнається кого з знаменитостей уявляв під час сексу"
166,"Переможець показує свій найсексуальніший спосіб поїсти щось"
167,"Переможець розповідає про найдивніший сон еротичного змісту"
168,"Переможець дарує кожному по поцілунку в щоку з побажанням"
169,"Переможець зізнається в найстрашнішому що бачив в порно"
170,"Переможець показує як би роздягався перед дзеркалом"
171,"Переможець розповідає про найкумедніший момент купання разом"
172,"Переможець робить еротичний масаж стоп комусь з гравців"
173,"Переможець зізнається яку частину тіла партнера обожнює найбільше"
174,"Переможець показує свій найчуттєвіший спосіб доторкнутися"
175,"Переможець розповідає про найдивнішу річ що чув під час сексу"
176,"Переможець дає кожному особистий еротичний комплімент"
177,"Переможець зізнається в найгіршій помилці що робив в ліжку"
178,"Переможець показує як би спокушав партнера поглядом"
179,"Переможець розповідає про найсмішніший момент під час сексу"
180,"Переможець робить розслаблюючий масаж всього тіла одному гравцю"
181,"Переможець зізнається яку еротичну роль мріє спробувати"
182,"Переможець показує свій найсексуальніший спосіб сісти"
183,"Переможець розповідає про найдивніше що робив щоб збудитися"
184,"Переможець дає кожному пораду про прелюдію"
185,"Переможець зізнається в найсоромнішому що думав про батьків друзів"
186,"Переможець показує як би танцював ерotic dance"
187,"Переможець розповідає про найкращий оргазм у своєму житті"
188,"Переможець робить чуттєвий масаж обличчя комусь з компанії"
189,"Переможець зізнається кому мріє зробити масаж всього тіла"
190,"Переможець показує свій найеротичніший спосіб лизнути губи"
191,"Переможець розповідає про найдивніший засіб збудження що пробував"
192,"Переможець дарує кожному по інтимному секрету про себе"
193,"Переможець зізнається в найбільшому сексуальному розчаруванні"
194,"Переможець показує як би мастурбував якби ніхто не бачив"
195,"Переможець розповідає про найкумедніший момент використання секс-іграшки"
196,"Переможець робить еротичний масаж кистей рук всім по черзі"
197,"Переможець зізнається кого з присутніх бачив у еротичному сні"
198,"Переможець показує свій найчуттєвіший поцілунок в повітря"
199,"Переможець розповідає про найстрашнішу сексуальну пропозицію що отримував"
200,"Переможець стає 'секс-консультантом' на вечір — дає поради всім"
