id,category,question,guidance
26,appearance,"Чи ходили ви коли-небудь цілий день з чимось на обличчі не знаючи?","Поділіться моментами коли довго не помічали дефектів зовнішності. Що це було? Хто сказав?"
27,technology,"Чи розмовляли ви коли-небудь з віртуальним помічником як з людиною?","Розкажіть про дивні діалоги з Siri чи Алісою. Що говорили? Чи відчували незручність?"
28,social,"Чи вважали ви коли-небудь що хтось махав вам, а виявилося що ні?","Поділіться соціальними непорозуміннями. Як довго махали назад? Як зрозуміли помилку?"
29,dreams,"Який найдивніший сон снився вам останнім часом?","Розкажіть про абсурдні сюжети з підсвідомості. Що відбувалося? Чи пам'ятаєте деталі?"
30,habits,"Чи робили ви коли-небудь щось дивне коли хвилювалися?","Поділіться незвичними способами заспокоєння. Що робили? Чи помічали інші?"
31,childhood,"Яке найдивніше пояснення давали батькам чому щось зламано?","Розкажіть про креативні виправдання в дитинстві. Що придумували? Чи вірили батьки?"
32,social,"Чи йшли ви коли-небудь не туди куди треба, але продовжували йти щоб не виглядати дурно?","Поділіться моментами коли гордість була важливішою за логіку. Як далеко зайшли? Коли повернулися?"
33,shopping,"Чи купували ви коли-небудь щось тільки тому що соромно було відмовитися?","Розкажіть про покупки з незручності. Що купили? Чи користувалися потім?"
34,phone,"Чи відповідали ви коли-небудь на дзвінок коли не треба було?","Поділіться недоречними відповідями на телефонні дзвінки. Що сталося? Як пояснювали?"
35,bathroom,"Чи розглядали ви коли-небудь себе в дзеркалі ванної робячи дивні міміки?","Розкажіть про таємні фотосесії перед дзеркалом. Які міміки робили? Чи хтось застукав?"
36,fear,"Чого найабсурднішого боїтеся у дорослому віці?","Поділіться дивними страхами що залишилися з дитинства. Чого боїтеся? Чи логічно це?"
37,music,"Чи танцювали ви коли-небудь один вдома думаючи що круто виглядаєте?","Розкажіть про таємні танцювальні сесії. Під яку музику? Чи бачив хтось через вікно?"
38,memory,"Чи забували ви коли-небудь де припаркували машину на декілька годин?","Поділіться моментами повної дезорієнтації. Як довго шукали? Що робили?"
39,weird_thoughts,"Чи думали ви коли-небудь що предмети мають почуття?","Розкажіть про дивні емпатичні моменти з речами. До чого відчували жалість? Чи говорили з предметами?"
40,social,"Чи вигадували ви коли-небудь хворобу щоб не йти на заходи?","Поділіться творчими способами уникнення соціальних зобов'язань. Що придумували? Чи вірили?"
41,appearance,"Чи фотографували ви коли-небудь себе в дзеркалі ліфта?","Розкажіть про спонтанні фотосесії у дзеркалах. Де робили найдивніші селфі? Чи збереглися фото?"
42,food,"Чи їли ви коли-небудь у темряві і не знали що саме?","Поділіться кулінарними загадками. Що з'ясувалося що їли? Чи був смак очікуваним?"
43,entertainment,"Чи дивилися ви коли-небудь дитячі мультики будучи дорослими?","Розкажіть про таємні перегляди дитячого контенту. Що дивилися? Чи ловили на цьому?"
44,bathroom,"Чи співали ви коли-небудь в душі думаючи що у вас гарний голос?","Поділіться ванними концертами. Які пісні виконували? Чи слухали сусіди?"
45,sleep,"Чи розмовляли ви коли-небудь уві сні і хтось записав?","Розкажіть про нічні монологи. Що казали? Хто підслуховував?"
46,pets,"Чи розмовляли ви коли-небудь з тваринами як з людьми?","Поділіться діалогами з домашніми улюбленцями. Про що говорили? Чи відповідали тварини?"
47,weird_habits,"Чи нюхали ви коли-небудь свій одяг щоб перевірити чи чистий?","Розкажіть про дивні методи перевірки свіжості. Що робили? Чи застукали вас?"
48,social,"Чи притворялися ви коли-небудь що розумієте про що говорять інші?","Поділіться моментами коли кивали не розуміючи. Про що говорилося? Коли зізналися що не зрозуміли?"
49,technology,"Чи намагалися ви коли-небудь 'полагодити' техніку просто постукавши?","Розкажіть про магічні методи ремонту. Що стукали? Чи допомагало?"
50,childhood,"Чи вигадували ви коли-небудь уявного друга будучи дорослими?","Поділіться моментами самотності коли створювали собі компанію. Як звали уявного друга? Про що розмовляли?"
51,food,"Чи облизували ви коли-небудь тарілку коли думали що ніхто не бачить?","Розкажіть про моменти повного розслаблення з їжею. Що було настільки смачним? Чи застукали?"
52,appearance,"Чи носили ви коли-небудь один носок тому що не знайшли пару?","Поділіться модними компромісами. Як довго ходили? Чи хтось помічав?"
53,weird_thoughts,"Чи уявляли ви коли-небудь що у предметів є особистості?","Розкажіть про анімування неживих речей. Які характери давали меблям? Як вони 'спілкувалися'?"
54,social,"Чи йшли ви коли-небудь в магазин тільки щоб не бути вдома?","Поділіться походами від нудьги. Скільки часу проводили в магазинах? Що 'вивчали'?"
55,embarrassing,"Чи падали ви коли-небудь на людях і намагалися зробити вигляд що так і треба?","Розкажіть про спроби замаскувати незграбність. Як виходили з ситуації? Чи вірили свідки?"
56,bathroom,"Чи робили ви коли-небудь селфі в громадському туалеті?","Поділіться найдивнішими локаціями для фото. Навіщо фотографувалися? Чи публікували в соцмережах?"
57,weird_habits,"Чи перевіряли ви коли-небудь холодильник кожні 5 хвилин сподіваючись що з'явиться щось нове?","Розкажіть про дивні ритуали з їжею. Скільки разів відкривали? Чи з'являлося щось нове?"
58,entertainment,"Чи танцювали ви коли-небудь перед телевізором під рекламу?","Поділіться спонтанними танцювальними моментами. Під яку рекламу танцювали? Хто бачив?"
59,sleep,"Чи будили ви коли-небудь себе власним хропінням?","Розкажіть про несподівані звукові ефекти уві сні. Що відчували прокидаючись? Хто ще чув?"
60,social,"Чи махали ви коли-небудь комусь хто виявився не тим за кого приймали?","Поділіться випадками помилкового впізнання. Як довго спілкувалися? Коли зрозуміли помилку?"
61,food,"Чи їли ви коли-небудь солодощі сховавшись від інших?","Розкажіть про таємні поїдання цукерок. Де ховалися? Що їли? Чи знаходили вас?"
62,appearance,"Чи намагалися ви коли-небудь 'полагодити' зачіску язиком?","Поділіться дивними методами укладання волосся. Де робили це? Чи хтось бачив?"
63,technology,"Чи говорили ви коли-небудь 'дякую' банкомату або автомату?","Розкажіть про ввічливість з машинами. Чому дякували? Чи відчували незручність потім?"
64,weird_thoughts,"Чи рахували ви коли-небудь щось абсолютно безглузде?","Поділіться обсесивними підрахунками. Що рахували? Навіщо це робили?"
65,childhood,"Чи розмовляли ви коли-небудь з іграшками будучи дорослими?","Розкажіть про ностальгічні діалоги з дитячими речами. Що казали? Чи 'відповідали' іграшки?"
66,social,"Чи притворялися ви коли-небудь що говорите по телефону щоб уникнути розмови?","Поділіться фейковими дзвінками для соціального уникнення. З ким 'розмовляли'? Чи вірили оточуючі?"
67,bathroom,"Чи читали ви коли-небудь склад шампуню від нудьги в душі?","Розкажіть про ванні науки. Що найцікавіше знайшли на етикетках? Чи запам'ятали хімічні формули?"
68,weird_habits,"Чи нюхали ви коли-небудь гроші щоб перевірити чи справжні?","Поділіться дивними методами перевірки грошей. Чи мали особливий запах? Що визначали нюхом?"
69,food,"Чи змішували ви коли-небудь напої створюючи 'новий смак'?","Розкажіть про бармейстерські експерименти. Що змішували? Чи пили результат?"
70,entertainment,"Чи коментували ви коли-небудь телевізор як будто вас чують?","Поділіться діалогами з екраном. Що казали акторам? Чи 'відповідали' вони?"
71,appearance,"Чи позували ви коли-небудь перед дзеркалом уявляючи що на червоній доріжці?","Розкажіть про зіркові фантазії перед дзеркалом. Які пози робили? Які промови говорили?"
72,sleep,"Чи снилося вам коли-небудь що ви їсте щось дивне і прокидалися з дивним присмаком?","Поділіться кулінарними снами. Що їли уві сні? Чи був присмак реальним?"
73,social,"Чи вигадували ви коли-небудь екстрені ситуації щоб піти раніше?","Розкажіть про креативні виправдання для швидкого відходу. Що придумували? Чи вірили?"
74,weird_thoughts,"Чи думали ви коли-небудь що камери вас знімають коли ніхто не дивиться?","Поділіться параноїдальними фантазіями. Де відчували камери? Як поводилися?"
75,technology,"Чи перезавантажували ви коли-небудь роутер сподіваючись що інтернет стане швидшим?","Розкажіть про магічне мислення з технікою. Скільки разів перезавантажували? Чи допомагало?"
76,bathroom,"Чи намагалися ви коли-небудь встановити світовий рекорд в туалеті?","Поділіться ванними змаганнями з собою. Що засікали? Чи побили рекорди?"
77,food,"Чи їли ви коли-небудь щось що знайшли в кишені?","Розкажіть про випадкові знахідки їжі. Що знаходили? Чи їли після тривалого зберігання?"
78,appearance,"Чи робили ви коли-небудь зачіску використовуючи статичну електрику?","Поділіться експериментами з волоссям і електрикою. Як досягали ефекту? Чи подобався результат?"
79,entertainment,"Чи створювали ви коли-небудь власні танці під випадкову музику?","Розкажіть про хореографічну імпровізацію. Які рухи винаходили? Чи повторювали потім?"
80,weird_habits,"Чи розмовляли ви коли-небудь з рослинами думаючи що це допомагає їм рости?","Поділіться ботанічними діалогами. Про що говорили з квітами? Чи росли вони краще?"
81,social,"Чи притворялися ви коли-небудь що сплите щоб не відповідати на повідомлення?","Розкажіть про цифрове уникнення. Як довго 'спали'? Чи вірили що ви офлайн?"
82,childhood,"Чи грали ви коли-небудь в дитячі ігри будучи сам наодинці?","Поділіться ностальгічними ігровими сесіями. В що грали? Чи отримували задоволення?"
83,bathroom,"Чи співали ви коли-небудь оперу в душі?","Розкажіть про ванні театральні вистави. Які арії виконували? Чи аплодували собі?"
84,weird_thoughts,"Чи уявляли ви коли-небудь що ваше життя - це телешоу?","Поділіться моментами коли відчували себе в реаліті-шоу. Хто дивиться? Що коментують?"
85,food,"Чи намагалися ви коли-небудь з'їсти щось одним укусом що явно не поміщається?","Розкажіть про амбітні кулінарні спроби. Що намагалися з'їсти? Чи вдалося?"
86,technology,"Чи говорили ви коли-небудь з GPS навігатором як з людиною?","Поділіться діалогами з електронним провідником. Що казали? Чи сперечалися з маршрутом?"
87,appearance,"Чи намагалися ви коли-небудь зробити татуювання ручкою?","Розкажіть про самодільні татуювання. Що малювали? Як довго тримались?"
88,sleep,"Чи будилися ви коли-небудь від власного сміху уві сні?","Поділіться веселими сновидіннями. Над чим сміялися уві сні? Чи пам'ятаєте жарт?"
89,social,"Чи вигадували ви коли-небудь складну історію замість простого 'не хочу'?","Розкажіть про креативні відмови. Яку історію придумували? Чи вірили слухачі?"
90,weird_habits,"Чи колекціонували ви коли-небудь щось абсолютно безглузде?","Поділіться дивними хобі. Що збирали? Навіщо почали колекціонувати?"
91,bathroom,"Чи намагалися ви коли-небудь побити рекорд швидкості чищення зубів?","Розкажіть про ванні змагання з часом. Скільки секунд було рекордом? Чи страждала якість?"
92,entertainment,"Чи танцювали ви коли-небудь з шваброю або пилососом?","Поділіться танцями з господарськими приладами. Хто був кращим партнером? Яку музику ставили?"
93,food,"Чи намагалися ви коли-небудь з'їсти щось дуже гаряче і робили дивні звуки?","Розкажіть про кулінарні випробування температурою. Що їли? Які звуки видавали?"
94,weird_thoughts,"Чи думали ви коли-небудь що інші можуть читати ваші думки?","Поділіться моментами ментальної параної. Що намагалися приховати в думках? Як перевіряли?"
95,appearance,"Чи робили ви коли-небудь макіяж використовуючи їжу?","Розкажіть про кулінарну косметику. Що використовували? Чи був результат задовільним?"
96,social,"Чи махали ви коли-небудь людині в дзеркалі думаючи що це хтось інший?","Поділіться моментами плутанини з відображеннями. Як довго махали? Коли зрозуміли?"
97,technology,"Чи намагалися ви коли-небудь зарядити щось що не заряджається?","Розкажіть про технологічні непорозуміння. Що намагалися зарядити? Як довго пробували?"
98,sleep,"Чи розмовляли ви коли-небудь з будильником як з ворогом?","Поділіться ранковими конфліктами з технікою. Що казали будильнику? Чи відповідав він?"
99,weird_habits,"Чи створювали ви коли-небудь власну мову або коди для себе?","Розкажіть про лінгвістичні експерименти. Які слова винаходили? Чи пам'ятаєте досі?"
100,absurd,"Якби ви могли мати суперсилу але тільки одну абсурдну, яку б обрали?","Уявіть найбезглуздіші суперздібності. Чому саме цю силу? Як би використовували в житті?"
